Team,PPP,eFG,ORebRate,TovRate,FTr,ThreeRate,BlkRate,AstRate,AstTo,dPPP,deFG,DRebRate,dTovRate,dFTr,dThreeRate,dBlkRate,dAstRate
George Mason,1.012,51.9,27.9,20.2,37,38.61330327,8.484349259,56.5,0.99,0.991,47.9,24.8,16.9,33,35.14957265,8.815426997,45.36340852
George Washington,1.072,53,26.5,17.6,34.5,38.03131991,8.717948718,46.48390942,1.01,1.089,52,29.7,15.5,27.7,39.69072165,6.949458484,50.91533181
Georgetown,0.989,47.1,28.9,17.5,29.1,30.97207859,12.0661157,46.45476773,0.97,1.114,53.6,30,15.9,24.4,39.53023488,7.191011236,60.13071895
Georgia,1.002,47.1,30.5,19.3,40.5,38.24027073,6.94214876,49.17582418,0.85,1.043,49.8,30.5,16.8,28.9,36.71548117,10.68493151,55.76694411
Georgia Southern,0.996,48.2,25.8,16.3,27.9,33.87096774,7.136060894,40.1076716,0.91,1.011,49.5,27.2,18.3,34.6,36.64858348,7.491289199,48.12760055
Georgia St.,0.958,45.6,30.1,19.5,33.5,30.56962025,9.082125604,44.92307692,0.79,1.042,50.7,29.5,17.5,35.4,33.82352941,9.753874202,52.29885057
Georgia Tech,1.013,48.5,27.5,15.6,23.5,38.85045237,10.64735945,53.99239544,1.3,1.06,50.1,30,15.9,30.8,35.24544953,9.747606614,56.73671199
Gonzaga,1.185,57.6,31.2,14.8,34.1,32.53393665,9.124906507,50.48372911,1.52,1.034,51.4,25.6,17.8,26,39.00547445,5.969148223,46.26407369
Grambling St.,1,50,31.5,21.2,41.5,27.43202417,12.22329163,50.20080321,0.85,0.932,44.6,31.6,21,41.1,38.1547619,7.826810991,53.0046225
Grand Canyon,1.084,52.8,30.2,18.1,36.9,40.73049253,7.704160247,47.05882353,0.96,1.042,47.5,30.4,15.1,33.2,32.60643821,8.496732026,43.12039312
Green Bay,0.892,45.9,21.7,21,31.5,43.48348348,6.343906511,53.20121951,0.78,1.15,54.8,32.4,16.1,31.6,34.6069869,11.15834219,49.60806271
Hampton,0.969,45.1,26.5,16,32.1,36.56836461,8.72193437,45.6284153,0.97,1.118,53.9,30.3,15.7,35.4,36.68671405,9.467455621,54.71478463
Hartford,0.902,47.7,25.3,22.7,24.1,40.31296572,10.4793757,53.16455696,0.78,1.133,55.4,33.5,17.6,27.7,37.4912892,9.36329588,58.17655572
Harvard,0.994,49.5,30.3,19.8,31.2,36.59198914,11.2568306,52.31481481,0.97,0.974,48.8,24.3,18.4,25,38.71399866,8.779443255,47.25274725
Hawaii,1.017,48.6,29.6,18.6,33.6,37.08381171,8.860759494,46.89189189,0.89,0.945,44.5,26.5,16.4,27.2,26.08695652,9.306569343,32.92682927
High Point,1.015,50.1,30.7,19.5,38.7,39.4549763,12.61343013,47.22598106,0.86,1.079,50.8,32,16.4,35.3,38.36689038,8.806262231,51.38190955
Hofstra,1.091,55.1,23.6,15.9,20.9,39.06327853,10.84797555,49.37629938,1.29,0.981,46.8,31.7,18.5,25.3,36.02150538,8.585445626,50.88967972
Holy Cross,0.943,48.5,21.5,17.5,25.5,31.96531792,6.309420916,47.97843666,0.98,1.054,51.8,30.1,17.4,27.8,35.47127719,8.49617672,50.54413543
Houston,1.157,52.3,37.1,15.4,28.9,37.90285974,16.65141812,53.86138614,1.47,0.887,42.7,27.7,21.1,35.7,43.45576824,6.652046784,53.10734463
Houston Christian,1.028,51.4,28,21.2,40.6,40.63453325,6.119027661,56.37119114,0.91,1.166,57.5,31.7,16.7,33.3,32.97752809,9.249743063,53.12157722
Howard,1.026,51.8,33.7,22.9,32.2,36.4762931,7.959356478,55.19713262,0.89,1.027,50.9,31.9,20.6,34,36.84491979,9.075487701,47.48803828
IUPUI,1.033,52,19.6,17.2,35.8,28.87367766,6.724303554,44.71879287,0.69,1.109,54.3,27.8,16.1,31.6,39.22942207,8.223972003,54.76772616
Idaho,1.019,50.8,24.6,17.2,28.9,36.23188406,4.724409449,44.47476126,0.94,1.071,51.4,27.2,17.8,35.5,32.52656434,8.794466403,42.997543
Idaho St.,1.055,51.4,31.6,18.4,34.3,39.84468339,7.181818182,48.84979702,1.04,0.959,46.7,26.7,18.5,30.1,33.45432547,6.752730884,47.16732543
Illinois,0.96,48.7,22.7,18.4,34.1,41.88078109,13.82899628,46.79633867,0.96,1.045,51.2,30.3,19.6,33,30.45501551,8.222811671,43.90547264
Illinois Chicago,0.998,50.2,28.2,21.8,31.3,43.30434783,12.02749141,56.56424581,1.03,1.057,51.8,26.7,16.7,34,34.49634215,11.96319018,55.27950311
Illinois St.,0.983,48.5,26.3,20,33.3,40.61212478,9.519492294,46.81139756,0.74,1.08,54.4,33,20.5,32.7,37.68361582,9.811694747,49.06832298
Incarnate Word,1.087,53.5,28.1,16.8,29.5,32.58928571,7.4598678,48.07121662,0.83,1.002,47.2,29,16.3,29.8,33.43808925,8.325449385,48.89178618
Indiana,1.102,56.4,21.8,17.1,31.5,26.62750857,13.64687741,53.62173038,1.32,0.977,48.2,22.9,17.2,30.4,37.76391555,7.338225484,47.88732394
Indiana St.,1.103,51.7,31.6,15.2,29,45.98903837,5.159332322,56.87693899,1.29,0.951,46.3,30.7,20.8,30.9,35.86374696,10.79335793,39.58810069
Iona,1.133,51.7,32.1,14,32.3,31.97565543,14.63414634,53.06122449,1.42,1.06,53.3,27.4,18.2,23.8,34.66135458,6.675843083,51.57384988
Iowa,1.02,49.9,33.9,19.5,27.9,37.5060183,8.345752608,57.49202976,1.66,0.949,49.9,26.5,25,40.8,32.29061554,8.859784284,50.90521832
