Team,PPP,eFG,ORebRate,TovRate,FTr,ThreeRate,BlkRate,AstRate,AstTo,dPPP,deFG,DRebRate,dTovRate,dFTr,dThreeRate,dBlkRate,dAstRate
Western Michigan,1.02,48.8,33,19.2,27.8,42.02094886,6.101344364,49.19472914,0.94,1.147,54.8,27.6,14.4,33.1,39.75077882,8.926673751,55.24934383
Wichita St.,1.027,50.7,29.1,18.2,30.8,37.24850462,11.28608924,51.5114873,1.06,0.993,47.5,28.2,16.9,25.9,40.80787157,9.272097054,56.76020408
William & Mary,0.997,49.4,27.4,18.8,29.2,37.77253978,5.429864253,49.72299169,0.94,1.1,53.9,29.9,17,27.4,36.85714286,14.86742424,48.61278649
Winthrop,1.078,55.1,25.9,20.6,41.6,44.94818653,8.080808081,46.66666667,0.81,1.123,54.8,34.2,17.4,31,38.01935117,14.11764706,50.29655991
Wisconsin,1.01,48.3,22.6,13.4,25,40.24937656,4.388185654,48.85679904,1.34,0.985,50.2,24.9,18.3,27.5,36.66488509,10.43405676,43.08062575
Wofford,1.083,52.4,28.6,16.3,30,39.13551402,5.78680203,45.24714829,1.09,1.109,54.8,28.7,16.6,26.4,42.79907085,9.404990403,46.12546125
Wright St.,1.069,53.5,26.2,17.3,24,28.15234174,7.367549669,48.09322034,1.15,1.016,50.3,26.6,17.2,27.6,37.79608651,6.375358166,41.14219114
Wyoming,1.026,51.6,24.2,18.2,33.4,45.48848787,7.312252964,46.08819346,0.9,1.091,53.4,25.3,16.4,28.9,39.4374626,10.50228311,49.22279793
Xavier,1.119,55.2,30.7,17.2,31.4,31.16134752,7.894736842,63.57078449,1.54,1.028,50.3,25,16.2,27,33.47921225,9.207984546,53.55731225
Yale,1.088,52.8,28,16.4,30.6,34.74784748,11.67400881,49.86807388,1.21,0.948,47,23.2,18.4,33.9,40.57591623,7.54005655,50.89141005
Youngstown St.,1.151,54.7,30.7,15.7,29.4,34.96143959,6.875,49.89361702,1.34,1.043,51.3,29.2,17.9,26.2,33.50649351,6.324110672,48.57468643
